"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"32",32910,"x86145","MA376B1","Gender","M","","","","","21","diffColor","0",46716,"1",0,21,54,"2016-09-15 09:28:47",46.716,"1"
"33",32909,"x86145","MA376B1","Gender","M","","","","","21","diffColor","0",52439,"1",0,21,54,"2016-09-15 09:27:45",52.439,"1"
"34",32908,"x94299","MA376B1","Gender","F","","","","","21","diffColor","0",55276,"1",0,21,54,"2016-09-15 09:26:39",55.276,"0"
"35",32907,"x94299","MA376B1","Gender","F","","","","","21","diffColor","0",47336,"1",3,21,54,"2016-09-15 09:23:45",47.336,"0"
"36",32906,"x86145","MA376B1","Gender","M","","","","","21","diffColor","0",53019,"1",0,21,54,"2016-09-15 09:23:09",53.019,"1"
"37",32905,"x86658","MA376B1","Gender","F","","","","","21","shape","0",56753,"1",0,21,54,"2016-09-15 09:22:54",56.753,"0"
"38",32904,"x86145","MA376B1","Gender","M","","","","","21","diffColor","0",51381,"1",0,21,54,"2016-09-15 09:22:03",51.381,"1"
"39",32903,"x86263","MA376B1","Gender","M","","","","","21","shape","0",87625,"1",1,21,54,"2016-09-15 09:11:54",87.625,"1"
"40",32902,"x85831","MA376B1","Gender","M","","","","","21","diffColor","0",79997,"1",2,21,54,"2016-09-15 09:11:52",79.997,"1"
"41",32901,"x94299","MA376B1","Gender","F","","","","","21","diffColor","0",49265,"1",0,21,54,"2016-09-15 09:11:51",49.265,"0"
"42",32900,"84758","MA376B1","Gender","M","","","","","21","diffColor","0",64240,"1",3,21,54,"2016-09-15 09:11:38",64.24,"1"
"43",32899,"x86667","MA376B1","Gender","F","","","","","21","shape","0",48791,"1",0,21,54,"2016-09-15 09:11:37",48.791,"0"
"44",32898,"x86145","MA376B1","Gender","M","","","","","21","diffColor","0",63027,"1",1,21,54,"2016-09-15 09:11:34",63.027,"1"
"45",32897,"X7589","MA376B1","GENDER","M","","","","","21","shape","0",65831,"1",1,21,54,"2016-09-15 09:11:32",65.831,"1"
"46",32896,"x85988","MA376B1","Gender","M","","","","","21","shape","0",53265,"1",0,21,54,"2016-09-15 09:11:31",53.265,"1"
"47",32894,"x86658","MA376B1","Gender","M","","","","","21","shape","0",56920,"1",2,21,54,"2016-09-15 09:11:26",56.92,"1"
"48",32895,"x86805","MA376B1","Gender","M","","","","","21","shape","0",57237,"1",4,21,54,"2016-09-15 09:11:26",57.237,"1"
"50",32893,"x86357","MA376B1","Gender","M","","","","","21","diffColor","0",56832,"1",2,21,54,"2016-09-15 09:11:23",56.832,"1"
"51",32890,"86151","MA376B1","Gender","F","","","","","21","diffColor","0",45048,"1",0,21,54,"2016-09-15 09:11:13",45.048,"0"
"52",32891,"inst","MA376B1","Gender","M","","","","","21","diffColor","0",45867,"1",1,21,54,"2016-09-15 09:11:13",45.867,"1"
"53",32889,"x86158","MA376B1","Gender","F","","","","","21","diffColor","0",41561,"1",0,21,54,"2016-09-15 09:11:09",41.561,"0"
"54",32888,"x86067","MA376B1","Gender","M","","","","","21","shape","0",39619,"1",1,21,54,"2016-09-15 09:11:07",39.619,"1"
